,time,open,high,low,close,tick_volume,spread,real_volume
251,2021-10-22 11:26:00,1.16428,1.16439,1.16428,1.16439,36,0,0
252,2021-10-22 11:27:00,1.16439,1.16441,1.16424,1.16425,23,0,0
253,2021-10-22 11:28:00,1.16425,1.16427,1.1642000000000001,1.16421,42,0,0
254,2021-10-22 11:29:00,1.16425,1.16427,1.16407,1.16417,50,0,0
255,2021-10-22 11:30:00,1.16418,1.16435,1.16415,1.16427,92,0,0
256,2021-10-22 11:31:00,1.16427,1.16442,1.16427,1.16437,77,0,0
257,2021-10-22 11:32:00,1.16437,1.16439,1.16427,1.16429,64,0,0
258,2021-10-22 11:33:00,1.1643,1.16444,1.16427,1.16444,74,0,0
259,2021-10-22 11:34:00,1.16445,1.16448,1.16436,1.16446,77,0,0
260,2021-10-22 11:35:00,1.1644700000000001,1.1644700000000001,1.16437,1.16437,48,0,0
261,2021-10-22 11:36:00,1.16439,1.1644,1.1643,1.16436,75,0,0
262,2021-10-22 11:37:00,1.16436,1.16436,1.16425,1.16426,49,0,0
263,2021-10-22 11:38:00,1.16426,1.1643,1.16417,1.1642000000000001,54,0,0
264,2021-10-22 11:39:00,1.16418,1.16425,1.16415,1.16416,105,0,0
265,2021-10-22 11:40:00,1.16416,1.16421,1.16413,1.16415,79,0,0
266,2021-10-22 11:41:00,1.16416,1.1643,1.16413,1.1643,54,0,0
267,2021-10-22 11:42:00,1.1643,1.16438,1.16427,1.16427,88,0,0
268,2021-10-22 11:43:00,1.16427,1.16433,1.16422,1.16433,57,0,0
269,2021-10-22 11:44:00,1.16433,1.16438,1.16426,1.16426,35,0,0
270,2021-10-22 11:45:00,1.16428,1.16428,1.16415,1.16417,42,0,0
271,2021-10-22 11:46:00,1.16418,1.16427,1.16415,1.16421,55,0,0
272,2021-10-22 11:47:00,1.16421,1.1642299999999999,1.16405,1.16408,43,0,0
273,2021-10-22 11:48:00,1.16408,1.16413,1.16407,1.16408,37,0,0
274,2021-10-22 11:49:00,1.16408,1.16408,1.16399,1.16399,53,0,0
275,2021-10-22 11:50:00,1.16399,1.16403,1.16397,1.16402,47,0,0
276,2021-10-22 11:51:00,1.16401,1.16402,1.16395,1.1639599999999999,29,0,0
277,2021-10-22 11:52:00,1.1639599999999999,1.16409,1.16391,1.16408,51,0,0
278,2021-10-22 11:53:00,1.16408,1.1641,1.16402,1.16407,39,0,0
279,2021-10-22 11:54:00,1.16407,1.1641,1.16402,1.16407,32,0,0
280,2021-10-22 11:55:00,1.16407,1.16422,1.16406,1.16421,67,0,0
281,2021-10-22 11:56:00,1.16421,1.16427,1.16414,1.1642000000000001,49,0,0
282,2021-10-22 11:57:00,1.16419,1.16422,1.16413,1.16414,60,0,0
283,2021-10-22 11:58:00,1.16415,1.16415,1.16407,1.16415,93,0,0
284,2021-10-22 11:59:00,1.16416,1.16416,1.16398,1.16412,123,0,0
285,2021-10-22 12:00:00,1.16412,1.16414,1.16383,1.16391,102,0,0
286,2021-10-22 12:01:00,1.16391,1.16415,1.16391,1.1639599999999999,110,0,0
287,2021-10-22 12:02:00,1.1639599999999999,1.16398,1.16384,1.16384,76,0,0
288,2021-10-22 12:03:00,1.16385,1.1639,1.1638,1.16385,34,0,0
289,2021-10-22 12:04:00,1.16385,1.1638600000000001,1.16378,1.1638,25,0,0
290,2021-10-22 12:05:00,1.1638,1.16389,1.1638,1.16382,44,0,0
291,2021-10-22 12:06:00,1.16382,1.16384,1.16365,1.16366,35,0,0
292,2021-10-22 12:07:00,1.16366,1.16371,1.16361,1.16361,38,0,0
293,2021-10-22 12:08:00,1.16361,1.16366,1.16355,1.16366,53,0,0
294,2021-10-22 12:09:00,1.16366,1.16373,1.1636199999999999,1.16372,47,0,0
295,2021-10-22 12:10:00,1.16371,1.16387,1.16371,1.16387,39,0,0
296,2021-10-22 12:11:00,1.16387,1.16393,1.1638600000000001,1.16387,38,0,0
297,2021-10-22 12:12:00,1.16387,1.16389,1.16367,1.1637,101,0,0
298,2021-10-22 12:13:00,1.16371,1.16374,1.1637,1.16372,40,0,0
299,2021-10-22 12:14:00,1.16372,1.16383,1.16371,1.16372,63,0,0
300,2021-10-22 12:15:00,1.16372,1.16375,1.16371,1.16372,46,0,0
301,2021-10-22 12:16:00,1.16372,1.16372,1.16357,1.16364,47,0,0
302,2021-10-22 12:17:00,1.16363,1.16368,1.1636,1.1636,48,0,0
303,2021-10-22 12:18:00,1.1636,1.16365,1.16357,1.16364,54,0,0
304,2021-10-22 12:19:00,1.16365,1.16365,1.16347,1.16348,38,0,0
305,2021-10-22 12:20:00,1.16349,1.16349,1.16342,1.16347,26,0,0
306,2021-10-22 12:21:00,1.16346,1.16351,1.16345,1.16347,43,0,0
307,2021-10-22 12:22:00,1.16347,1.16356,1.16345,1.16354,46,0,0
308,2021-10-22 12:23:00,1.16354,1.1636,1.16346,1.16351,53,0,0
309,2021-10-22 12:24:00,1.16352,1.16356,1.16348,1.16348,39,0,0
310,2021-10-22 12:25:00,1.16349,1.16361,1.16349,1.16351,67,0,0
